Simulation,NumTargets,TargetID,StartDOA,SNR,Velocity
2,2,0,125,-6,0
2,2,1,68,-5,1
3,3,0,24,3,0
3,3,1,100,0,-1
3,3,2,80,12,2
4,1,0,60,-5,2
5,1,0,109,6,0
6,4,0,142,-4,-1
6,4,1,163,15,-2
6,4,2,151,-2,0
6,4,3,40,7,0
7,2,0,137,14,-2
7,2,1,70,17,-1
10,3,0,0,19,2
10,3,1,116,12,-2
10,3,2,174,12,-1
11,3,0,61,13,-1
11,3,1,3,3,1
11,3,2,151,12,-2
12,3,0,175,19,-1
12,3,1,40,4,1
12,3,2,15,-5,0
13,1,0,122,-2,1
14,3,0,165,-7,0
14,3,1,69,-3,-1
14,3,2,156,-2,-2
15,3,0,112,11,0
15,3,1,94,15,0
15,3,2,44,-6,0
17,1,0,108,7,1
18,2,0,52,6,2
18,2,1,48,14,1
19,4,0,71,-6,-1
19,4,1,55,-10,1
19,4,2,71,-9,2
19,4,3,74,5,2
22,4,0,91,11,-1
22,4,1,22,16,0
22,4,2,67,-10,1
22,4,3,137,3,-1
23,4,0,174,-5,-1
23,4,1,79,7,-1
23,4,2,68,11,0
23,4,3,27,-6,0
24,3,0,39,5,2
24,3,1,119,6,-2
24,3,2,126,-6,-1
25,2,0,76,4,1
25,2,1,20,-1,2
26,1,0,162,10,0
27,1,0,19,-3,0
28,1,0,79,18,0
29,3,0,52,12,2
29,3,1,40,2,0
29,3,2,117,1,1
30,4,0,128,1,-2
30,4,1,5,0,2
30,4,2,77,19,2
30,4,3,115,12,0
31,2,0,157,8,0
31,2,1,102,8,-1
32,4,0,117,7,0
32,4,1,113,8,1
32,4,2,65,-9,-1
32,4,3,172,15,-1
33,1,0,128,1,0
35,1,0,29,4,1
37,2,0,95,3,0
37,2,1,152,18,-1
39,2,0,125,8,0
39,2,1,154,8,-1
40,2,0,78,-9,-1
40,2,1,128,0,1
41,3,0,178,16,-2
41,3,1,76,11,1
41,3,2,124,17,-1
42,3,0,126,0,1
42,3,1,60,5,2
42,3,2,130,-7,0
44,1,0,154,14,0
45,1,0,103,0,-2
46,3,0,132,-9,0
46,3,1,14,6,0
46,3,2,65,19,1
47,2,0,125,-4,-2
47,2,1,103,16,-2
48,3,0,18,0,1
48,3,1,29,-1,1
48,3,2,49,-7,0
49,2,0,105,-3,-2
49,2,1,79,-1,-1
50,4,0,104,11,1
50,4,1,96,5,1
50,4,2,117,-7,-1
50,4,3,109,13,-2
51,2,0,93,2,0
51,2,1,144,15,0
52,2,0,71,11,0
52,2,1,167,12,-1
54,1,0,135,15,0
55,3,0,88,1,0
55,3,1,52,7,0
55,3,2,143,6,-2
57,3,0,0,10,1
57,3,1,38,9,1
57,3,2,50,19,0
59,2,0,21,13,2
59,2,1,135,13,-2
60,4,0,77,17,-1
60,4,1,49,-2,1
60,4,2,84,16,-1
60,4,3,51,10,2
61,4,0,128,-3,0
61,4,1,155,-7,-1
61,4,2,91,-1,-1
61,4,3,37,9,0
62,2,0,180,-8,-2
62,2,1,107,4,0
63,4,0,156,11,-1
63,4,1,53,15,1
63,4,2,103,-6,-1
63,4,3,65,9,1
64,2,0,97,10,1
64,2,1,130,-3,-1
65,1,0,56,-7,0
66,4,0,86,13,-1
66,4,1,92,8,0
66,4,2,60,8,0
66,4,3,97,6,1
67,3,0,159,0,-1
67,3,1,82,3,1
67,3,2,106,1,-1
68,4,0,23,-3,2
68,4,1,178,4,-2
68,4,2,81,-2,-1
68,4,3,5,11,0
69,2,0,72,-8,-1
69,2,1,178,-4,0
70,3,0,96,0,0
70,3,1,109,5,-2
70,3,2,161,3,0
72,4,0,110,19,-2
72,4,1,121,18,-2
72,4,2,107,7,-2
72,4,3,135,14,-1
74,3,0,174,4,-2
74,3,1,107,-6,0
74,3,2,102,9,0
75,2,0,75,0,2
75,2,1,172,-7,-1
76,1,0,80,12,2
77,4,0,118,9,-2
77,4,1,80,16,-1
77,4,2,142,-8,-1
77,4,3,42,10,1
78,1,0,44,5,1
80,2,0,152,9,-2
80,2,1,156,-7,-1
82,2,0,38,-1,2
82,2,1,91,14,-1
83,2,0,46,5,0
83,2,1,129,-8,0
84,4,0,111,1,-2
84,4,1,9,5,1
84,4,2,82,14,-1
84,4,3,50,-9,-1
85,2,0,62,-10,2
85,2,1,85,-3,-1
86,4,0,79,8,-1
86,4,1,146,-8,0
86,4,2,83,-7,-1
86,4,3,119,-2,1
87,1,0,19,19,0
88,4,0,84,-5,-1
88,4,1,66,8,0
88,4,2,107,6,0
88,4,3,113,8,0
89,2,0,155,-3,0
89,2,1,123,11,0
90,2,0,28,-6,1
90,2,1,166,-4,-2
91,4,0,47,13,2
91,4,1,69,-2,1
91,4,2,128,-1,1
91,4,3,111,8,1
93,4,0,80,17,-1
93,4,1,92,6,1
93,4,2,41,-8,0
93,4,3,60,19,0
94,4,0,168,0,0
94,4,1,91,4,-1
94,4,2,64,6,0
94,4,3,133,5,0
95,2,0,76,-7,2
95,2,1,4,0,0
97,3,0,86,12,0
97,3,1,153,17,-1
97,3,2,50,10,-1
98,1,0,167,-5,-2
99,1,0,28,-8,0
100,3,0,54,7,2
100,3,1,59,8,2
100,3,2,13,-6,2
101,3,0,74,8,1
101,3,1,102,-2,-1
101,3,2,98,-1,-1
102,4,0,142,9,-1
102,4,1,53,2,-1
102,4,2,128,3,-1
102,4,3,35,-5,1
103,4,0,155,4,-2
103,4,1,129,-3,1
103,4,2,118,12,-1
103,4,3,26,-9,2
104,3,0,145,16,-1
104,3,1,145,4,0
104,3,2,148,14,-2
105,3,0,176,18,-2
105,3,1,41,-6,1
105,3,2,73,-7,0
108,3,0,53,-6,1
108,3,1,22,-8,0
108,3,2,167,-10,-1
109,4,0,81,-4,0
109,4,1,39,19,2
109,4,2,111,-9,1
109,4,3,163,-7,-1
111,2,0,103,-1,-1
111,2,1,176,-6,-2
113,1,0,98,0,-2
114,4,0,65,1,1
114,4,1,16,-3,1
114,4,2,20,-2,2
114,4,3,6,-5,2
115,2,0,28,-5,1
115,2,1,100,12,1
116,2,0,150,2,0
116,2,1,163,8,-2
117,2,0,103,3,-2
117,2,1,107,3,-2
119,2,0,102,-7,1
119,2,1,133,-6,0
120,2,0,117,0,1
120,2,1,146,9,-1
121,2,0,111,-3,0
121,2,1,79,3,2
122,3,0,169,9,0
122,3,1,23,19,1
122,3,2,67,-4,2
123,3,0,96,14,0
123,3,1,84,-5,0
123,3,2,149,-1,0
124,2,0,176,17,-1
124,2,1,75,4,2
125,4,0,43,-4,2
125,4,1,87,7,-1
125,4,2,105,5,0
125,4,3,96,1,1
126,3,0,162,3,-2
126,3,1,68,10,-1
126,3,2,27,6,0
127,1,0,128,-2,-1
128,3,0,9,3,0
128,3,1,80,13,0
